Day,Barbie
2023-05-20,4
2023-05-21,3
2023-05-22,3
2023-05-23,3
2023-05-24,3
2023-05-25,5
2023-05-26,7
2023-05-27,7
2023-05-28,6
2023-05-29,5
2023-05-30,5
2023-05-31,5
2023-06-01,5
2023-06-02,5
2023-06-03,6
2023-06-04,6
2023-06-05,5
2023-06-06,5
2023-06-07,5
2023-06-08,4
2023-06-09,4
2023-06-10,5
2023-06-11,5
2023-06-12,4
2023-06-13,4
2023-06-14,5
2023-06-15,4
2023-06-16,5
2023-06-17,6
2023-06-18,6
2023-06-19,5
2023-06-20,5
2023-06-21,5
2023-06-22,5
2023-06-23,6
2023-06-24,7
2023-06-25,7
2023-06-26,6
2023-06-27,8
2023-06-28,8
2023-06-29,9
2023-06-30,9
2023-07-01,10
2023-07-02,11
2023-07-03,10
2023-07-04,11
2023-07-05,11
2023-07-06,12
2023-07-07,13
2023-07-08,15
2023-07-09,15
2023-07-10,20
2023-07-11,19
2023-07-12,21
2023-07-13,23
2023-07-14,24
2023-07-15,25
2023-07-16,34
2023-07-17,34
2023-07-18,37
2023-07-19,53
2023-07-20,74
2023-07-21,100
2023-07-22,98
2023-07-23,89
2023-07-24,69
2023-07-25,61
2023-07-26,55
2023-07-27,50
2023-07-28,48
2023-07-29,50
2023-07-30,50
2023-07-31,35
2023-08-01,32
2023-08-02,32
