Day,Black Panther: Wakanda Forever
2022-09-10,1
2022-09-11,2
2022-09-12,1
2022-09-13,1
2022-09-14,1
2022-09-15,<1
2022-09-16,1
2022-09-17,1
2022-09-18,1
2022-09-19,1
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-23,1
2022-09-24,1
2022-09-25,1
2022-09-26,1
2022-09-27,6
2022-09-28,5
2022-09-29,2
2022-09-30,1
2022-10-01,2
2022-10-02,2
2022-10-03,12
2022-10-04,12
2022-10-05,6
2022-10-06,3
2022-10-07,3
2022-10-08,3
2022-10-09,3
2022-10-10,2
2022-10-11,2
2022-10-12,3
2022-10-13,3
2022-10-14,4
2022-10-15,6
2022-10-16,3
2022-10-17,5
2022-10-18,4
2022-10-19,3
2022-10-20,3
2022-10-21,3
2022-10-22,3
2022-10-23,3
2022-10-24,3
2022-10-25,3
2022-10-26,4
2022-10-27,15
2022-10-28,14
2022-10-29,10
2022-10-30,8
2022-10-31,13
2022-11-01,13
2022-11-02,13
2022-11-03,13
2022-11-04,13
2022-11-05,16
2022-11-06,17
2022-11-07,15
2022-11-08,26
2022-11-09,30
2022-11-10,44
2022-11-11,81
2022-11-12,100
2022-11-13,80
2022-11-14,54
2022-11-15,37
2022-11-16,31
2022-11-17,29
2022-11-18,33
2022-11-19,45
2022-11-20,50
2022-11-21,31
2022-11-22,27
2022-11-23,27
