Day,Call Me by Your Name
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-03,0
2017-06-04,0
2017-06-05,3
2017-06-06,0
2017-06-07,4
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,6
2017-06-12,3
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-17,4
2017-06-18,7
2017-06-19,0
2017-06-20,4
2017-06-21,3
2017-06-22,0
2017-06-23,0
2017-06-24,0
2017-06-25,0
2017-06-26,4
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,4
2017-07-04,0
2017-07-05,4
2017-07-06,0
2017-07-07,3
2017-07-08,5
2017-07-09,0
2017-07-10,4
2017-07-11,4
2017-07-12,0
2017-07-13,0
2017-07-14,3
2017-07-15,5
2017-07-16,0
2017-07-17,0
2017-07-18,3
2017-07-19,4
2017-07-20,5
2017-07-21,0
2017-07-22,5
2017-07-23,4
2017-07-24,0
2017-07-25,4
2017-07-26,3
2017-07-27,13
2017-07-28,11
2017-07-29,5
2017-07-30,5
2017-07-31,8
2017-08-01,84
2017-08-02,100
2017-08-03,38
2017-08-04,28
2017-08-05,30
2017-08-06,29
2017-08-07,25
2017-08-08,21
2017-08-09,21
2017-08-10,15
2017-08-11,16
