Day,Cinderella
2015-01-12,4
2015-01-13,3
2015-01-14,3
2015-01-15,3
2015-01-16,3
2015-01-17,4
2015-01-18,4
2015-01-19,3
2015-01-20,3
2015-01-21,3
2015-01-22,2
2015-01-23,3
2015-01-24,3
2015-01-25,4
2015-01-26,4
2015-01-27,7
2015-01-28,3
2015-01-29,3
2015-01-30,3
2015-01-31,4
2015-02-01,4
2015-02-02,3
2015-02-03,4
2015-02-04,3
2015-02-05,3
2015-02-06,4
2015-02-07,5
2015-02-08,5
2015-02-09,5
2015-02-10,4
2015-02-11,5
2015-02-12,5
2015-02-13,6
2015-02-14,7
2015-02-15,8
2015-02-16,7
2015-02-17,7
2015-02-18,7
2015-02-19,6
2015-02-20,7
2015-02-21,8
2015-02-22,7
2015-02-23,8
2015-02-24,7
2015-02-25,8
2015-02-26,8
2015-02-27,9
2015-02-28,11
2015-03-01,11
2015-03-02,11
2015-03-03,11
2015-03-04,12
2015-03-05,13
2015-03-06,12
2015-03-07,16
2015-03-08,16
2015-03-09,15
2015-03-10,18
2015-03-11,20
2015-03-12,26
2015-03-13,64
2015-03-14,100
2015-03-15,85
2015-03-16,40
2015-03-17,28
2015-03-18,28
2015-03-19,24
2015-03-20,30
2015-03-21,48
2015-03-22,46
2015-03-23,25
2015-03-24,18
2015-03-25,16
2015-03-26,16
2015-03-27,22
