Day,Coco
2017-09-25,7
2017-09-26,7
2017-09-27,7
2017-09-28,7
2017-09-29,7
2017-09-30,8
2017-10-01,8
2017-10-02,7
2017-10-03,7
2017-10-04,7
2017-10-05,9
2017-10-06,8
2017-10-07,8
2017-10-08,9
2017-10-09,8
2017-10-10,7
2017-10-11,7
2017-10-12,7
2017-10-13,7
2017-10-14,9
2017-10-15,9
2017-10-16,7
2017-10-17,9
2017-10-18,8
2017-10-19,8
2017-10-20,8
2017-10-21,9
2017-10-22,10
2017-10-23,8
2017-10-24,8
2017-10-25,9
2017-10-26,9
2017-10-27,10
2017-10-28,12
2017-10-29,13
2017-10-30,13
2017-10-31,13
2017-11-01,13
2017-11-02,15
2017-11-03,14
2017-11-04,18
2017-11-05,17
2017-11-06,14
2017-11-07,15
2017-11-08,14
2017-11-09,14
2017-11-10,17
2017-11-11,20
2017-11-12,21
2017-11-13,14
2017-11-14,14
2017-11-15,15
2017-11-16,16
2017-11-17,18
2017-11-18,24
2017-11-19,27
2017-11-20,25
2017-11-21,34
2017-11-22,62
2017-11-23,71
2017-11-24,85
2017-11-25,100
2017-11-26,96
2017-11-27,52
2017-11-28,39
2017-11-29,36
2017-11-30,31
2017-12-01,38
2017-12-02,67
2017-12-03,68
2017-12-04,39
2017-12-05,30
2017-12-06,29
