Day,Creed III
2022-12-31,2
2023-01-01,0
2023-01-02,3
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,3
2023-01-10,0
2023-01-11,2
2023-01-12,2
2023-01-13,0
2023-01-14,3
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,2
2023-01-19,0
2023-01-20,0
2023-01-21,3
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,4
2023-01-30,5
2023-01-31,3
2023-02-01,3
2023-02-02,3
2023-02-03,5
2023-02-04,4
2023-02-05,3
2023-02-06,4
2023-02-07,4
2023-02-08,4
2023-02-09,0
2023-02-10,5
2023-02-11,3
2023-02-12,5
2023-02-13,8
2023-02-14,4
2023-02-15,7
2023-02-16,6
2023-02-17,7
2023-02-18,11
2023-02-19,8
2023-02-20,8
2023-02-21,8
2023-02-22,7
2023-02-23,7
2023-02-24,21
2023-02-25,18
2023-02-26,15
2023-02-27,16
2023-02-28,20
2023-03-01,25
2023-03-02,44
2023-03-03,79
2023-03-04,100
2023-03-05,93
2023-03-06,69
2023-03-07,45
2023-03-08,33
2023-03-09,31
2023-03-10,42
2023-03-11,58
2023-03-12,57
2023-03-13,33
2023-03-14,23
2023-03-15,21
