Day,Elemental
2023-04-15,6
2023-04-16,7
2023-04-17,6
2023-04-18,5
2023-04-19,6
2023-04-20,6
2023-04-21,6
2023-04-22,7
2023-04-23,7
2023-04-24,5
2023-04-25,6
2023-04-26,5
2023-04-27,5
2023-04-28,5
2023-04-29,7
2023-04-30,7
2023-05-01,5
2023-05-02,5
2023-05-03,5
2023-05-04,5
2023-05-05,5
2023-05-06,6
2023-05-07,7
2023-05-08,6
2023-05-09,5
2023-05-10,6
2023-05-11,5
2023-05-12,6
2023-05-13,7
2023-05-14,7
2023-05-15,6
2023-05-16,7
2023-05-17,8
2023-05-18,7
2023-05-19,8
2023-05-20,11
2023-05-21,10
2023-05-22,8
2023-05-23,8
2023-05-24,8
2023-05-25,8
2023-05-26,9
2023-05-27,12
2023-05-28,14
2023-05-29,14
2023-05-30,12
2023-05-31,11
2023-06-01,10
2023-06-02,12
2023-06-03,13
2023-06-04,14
2023-06-05,13
2023-06-06,13
2023-06-07,13
2023-06-08,13
2023-06-09,15
2023-06-10,19
2023-06-11,23
2023-06-12,20
2023-06-13,22
2023-06-14,25
2023-06-15,38
2023-06-16,84
2023-06-17,100
2023-06-18,92
2023-06-19,85
2023-06-20,68
2023-06-21,64
2023-06-22,49
2023-06-23,59
2023-06-24,77
2023-06-25,72
2023-06-26,46
2023-06-27,43
2023-06-28,40
