Day,Elvis
2022-04-23,9
2022-04-24,8
2022-04-25,7
2022-04-26,6
2022-04-27,6
2022-04-28,7
2022-04-29,8
2022-04-30,9
2022-05-01,9
2022-05-02,8
2022-05-03,8
2022-05-04,7
2022-05-05,8
2022-05-06,9
2022-05-07,10
2022-05-08,11
2022-05-09,8
2022-05-10,8
2022-05-11,7
2022-05-12,7
2022-05-13,7
2022-05-14,9
2022-05-15,10
2022-05-16,9
2022-05-17,9
2022-05-18,8
2022-05-19,8
2022-05-20,9
2022-05-21,10
2022-05-22,11
2022-05-23,11
2022-05-24,13
2022-05-25,14
2022-05-26,16
2022-05-27,16
2022-05-28,18
2022-05-29,19
2022-05-30,19
2022-05-31,13
2022-06-01,13
2022-06-02,17
2022-06-03,18
2022-06-04,17
2022-06-05,17
2022-06-06,16
2022-06-07,16
2022-06-08,18
2022-06-09,16
2022-06-10,19
2022-06-11,23
2022-06-12,23
2022-06-13,20
2022-06-14,18
2022-06-15,18
2022-06-16,22
2022-06-17,25
2022-06-18,29
2022-06-19,31
2022-06-20,26
2022-06-21,27
2022-06-22,41
2022-06-23,43
2022-06-24,74
2022-06-25,95
2022-06-26,100
2022-06-27,77
2022-06-28,60
2022-06-29,59
2022-06-30,55
2022-07-01,54
2022-07-02,69
2022-07-03,70
2022-07-04,67
2022-07-05,46
2022-07-06,44
