Day,Everything Everywhere All at Once
2022-01-23,0
2022-01-24,2
2022-01-25,1
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,1
2022-01-30,1
2022-01-31,1
2022-02-01,0
2022-02-02,1
2022-02-03,1
2022-02-04,1
2022-02-05,0
2022-02-06,0
2022-02-07,1
2022-02-08,1
2022-02-09,0
2022-02-10,0
2022-02-11,1
2022-02-12,1
2022-02-13,1
2022-02-14,1
2022-02-15,1
2022-02-16,1
2022-02-17,1
2022-02-18,1
2022-02-19,2
2022-02-20,1
2022-02-21,1
2022-02-22,1
2022-02-23,2
2022-02-24,2
2022-02-25,2
2022-02-26,2
2022-02-27,2
2022-02-28,2
2022-03-01,2
2022-03-02,2
2022-03-03,2
2022-03-04,2
2022-03-05,2
2022-03-06,2
2022-03-07,2
2022-03-08,1
2022-03-09,2
2022-03-10,3
2022-03-11,6
2022-03-12,16
2022-03-13,14
2022-03-14,9
2022-03-15,8
2022-03-16,7
2022-03-17,10
2022-03-18,12
2022-03-19,13
2022-03-20,12
2022-03-21,12
2022-03-22,13
2022-03-23,16
2022-03-24,21
2022-03-25,43
2022-03-26,51
2022-03-27,39
2022-03-28,25
2022-03-29,23
2022-03-30,36
2022-03-31,46
2022-04-01,49
2022-04-02,75
2022-04-03,100
2022-04-04,63
2022-04-05,65
2022-04-06,59
2022-04-07,66
