Day,Frozen II
2019-09-21,0
2019-09-22,0
2019-09-23,6
2019-09-24,5
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-28,0
2019-09-29,0
2019-09-30,4
2019-10-01,4
2019-10-02,0
2019-10-03,0
2019-10-04,4
2019-10-05,8
2019-10-06,6
2019-10-07,5
2019-10-08,0
2019-10-09,3
2019-10-10,0
2019-10-11,0
2019-10-12,8
2019-10-13,5
2019-10-14,5
2019-10-15,6
2019-10-16,6
2019-10-17,4
2019-10-18,5
2019-10-19,6
2019-10-20,6
2019-10-21,4
2019-10-22,6
2019-10-23,5
2019-10-24,4
2019-10-25,6
2019-10-26,5
2019-10-27,6
2019-10-28,8
2019-10-29,7
2019-10-30,6
2019-10-31,6
2019-11-01,9
2019-11-02,10
2019-11-03,12
2019-11-04,12
2019-11-05,15
2019-11-06,11
2019-11-07,7
2019-11-08,14
2019-11-09,17
2019-11-10,14
2019-11-11,13
2019-11-12,12
2019-11-13,14
2019-11-14,15
2019-11-15,19
2019-11-16,21
2019-11-17,23
2019-11-18,24
2019-11-19,23
2019-11-20,26
2019-11-21,33
2019-11-22,66
2019-11-23,99
2019-11-24,100
2019-11-25,63
2019-11-26,49
2019-11-27,69
2019-11-28,71
2019-11-29,68
2019-11-30,75
2019-12-01,58
2019-12-02,40
2019-12-03,28
2019-12-04,22
