Day,Hamilton
2020-05-04,4
2020-05-05,4
2020-05-06,4
2020-05-07,4
2020-05-08,4
2020-05-09,4
2020-05-10,4
2020-05-11,4
2020-05-12,7
2020-05-13,6
2020-05-14,5
2020-05-15,5
2020-05-16,4
2020-05-17,5
2020-05-18,6
2020-05-19,6
2020-05-20,5
2020-05-21,6
2020-05-22,5
2020-05-23,5
2020-05-24,5
2020-05-25,5
2020-05-26,5
2020-05-27,4
2020-05-28,5
2020-05-29,5
2020-05-30,4
2020-05-31,4
2020-06-01,5
2020-06-02,5
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,4
2020-06-07,5
2020-06-08,5
2020-06-09,5
2020-06-10,5
2020-06-11,5
2020-06-12,4
2020-06-13,4
2020-06-14,5
2020-06-15,5
2020-06-16,5
2020-06-17,5
2020-06-18,5
2020-06-19,5
2020-06-20,5
2020-06-21,5
2020-06-22,7
2020-06-23,8
2020-06-24,7
2020-06-25,6
2020-06-26,6
2020-06-27,7
2020-06-28,8
2020-06-29,9
2020-06-30,9
2020-07-01,9
2020-07-02,13
2020-07-03,53
2020-07-04,100
2020-07-05,60
2020-07-06,42
2020-07-07,27
2020-07-08,22
2020-07-09,19
2020-07-10,18
2020-07-11,23
2020-07-12,23
2020-07-13,16
2020-07-14,12
2020-07-15,12
2020-07-16,11
2020-07-17,12
