Day,It Chapter Two
2019-07-06,1
2019-07-07,2
2019-07-08,1
2019-07-09,1
2019-07-10,1
2019-07-11,1
2019-07-12,1
2019-07-13,2
2019-07-14,2
2019-07-15,2
2019-07-16,1
2019-07-17,2
2019-07-18,8
2019-07-19,7
2019-07-20,4
2019-07-21,5
2019-07-22,3
2019-07-23,2
2019-07-24,2
2019-07-25,2
2019-07-26,2
2019-07-27,2
2019-07-28,3
2019-07-29,3
2019-07-30,2
2019-07-31,4
2019-08-01,4
2019-08-02,3
2019-08-03,3
2019-08-04,3
2019-08-05,3
2019-08-06,3
2019-08-07,3
2019-08-08,2
2019-08-09,2
2019-08-10,2
2019-08-11,4
2019-08-12,3
2019-08-13,4
2019-08-14,2
2019-08-15,2
2019-08-16,3
2019-08-17,4
2019-08-18,4
2019-08-19,3
2019-08-20,3
2019-08-21,5
2019-08-22,4
2019-08-23,4
2019-08-24,5
2019-08-25,6
2019-08-26,5
2019-08-27,7
2019-08-28,6
2019-08-29,6
2019-08-30,8
2019-08-31,12
2019-09-01,16
2019-09-02,18
2019-09-03,23
2019-09-04,32
2019-09-05,45
2019-09-06,68
2019-09-07,100
2019-09-08,92
2019-09-09,49
2019-09-10,37
2019-09-11,32
2019-09-12,33
2019-09-13,37
2019-09-14,68
2019-09-15,62
2019-09-16,28
2019-09-17,23
2019-09-18,19
