Day,John Wick: Chapter 4
2023-01-21,1
2023-01-22,2
2023-01-23,0
2023-01-24,2
2023-01-25,0
2023-01-26,1
2023-01-27,0
2023-01-28,1
2023-01-29,2
2023-01-30,0
2023-01-31,1
2023-02-01,1
2023-02-02,0
2023-02-03,0
2023-02-04,1
2023-02-05,1
2023-02-06,0
2023-02-07,1
2023-02-08,0
2023-02-09,1
2023-02-10,0
2023-02-11,1
2023-02-12,0
2023-02-13,1
2023-02-14,1
2023-02-15,1
2023-02-16,2
2023-02-17,3
2023-02-18,3
2023-02-19,2
2023-02-20,1
2023-02-21,2
2023-02-22,1
2023-02-23,4
2023-02-24,2
2023-02-25,2
2023-02-26,3
2023-02-27,3
2023-02-28,5
2023-03-01,8
2023-03-02,15
2023-03-03,4
2023-03-04,2
2023-03-05,4
2023-03-06,4
2023-03-07,14
2023-03-08,10
2023-03-09,4
2023-03-10,3
2023-03-11,4
2023-03-12,5
2023-03-13,4
2023-03-14,15
2023-03-15,11
2023-03-16,7
2023-03-17,10
2023-03-18,9
2023-03-19,10
2023-03-20,12
2023-03-21,13
2023-03-22,10
2023-03-23,21
2023-03-24,69
2023-03-25,93
2023-03-26,100
2023-03-27,89
2023-03-28,55
2023-03-29,29
2023-03-30,22
2023-03-31,24
2023-04-01,32
2023-04-02,49
2023-04-03,47
2023-04-04,16
2023-04-05,16
