Day,Knives Out
2019-09-28,1
2019-09-29,1
2019-09-30,<1
2019-10-01,1
2019-10-02,<1
2019-10-03,1
2019-10-04,1
2019-10-05,1
2019-10-06,1
2019-10-07,1
2019-10-08,1
2019-10-09,2
2019-10-10,2
2019-10-11,3
2019-10-12,2
2019-10-13,2
2019-10-14,1
2019-10-15,1
2019-10-16,1
2019-10-17,2
2019-10-18,1
2019-10-19,1
2019-10-20,3
2019-10-21,2
2019-10-22,1
2019-10-23,2
2019-10-24,1
2019-10-25,1
2019-10-26,1
2019-10-27,3
2019-10-28,2
2019-10-29,3
2019-10-30,3
2019-10-31,5
2019-11-01,3
2019-11-02,3
2019-11-03,4
2019-11-04,7
2019-11-05,7
2019-11-06,5
2019-11-07,5
2019-11-08,4
2019-11-09,5
2019-11-10,7
2019-11-11,7
2019-11-12,6
2019-11-13,4
2019-11-14,5
2019-11-15,7
2019-11-16,7
2019-11-17,8
2019-11-18,7
2019-11-19,8
2019-11-20,7
2019-11-21,11
2019-11-22,20
2019-11-23,33
2019-11-24,27
2019-11-25,20
2019-11-26,29
2019-11-27,56
2019-11-28,77
2019-11-29,90
2019-11-30,100
2019-12-01,81
2019-12-02,42
2019-12-03,28
2019-12-04,28
2019-12-05,24
2019-12-06,30
2019-12-07,52
2019-12-08,53
2019-12-09,24
2019-12-10,21
2019-12-11,22
