Day,Lightyear
2022-04-16,2
2022-04-17,2
2022-04-18,2
2022-04-19,2
2022-04-20,2
2022-04-21,6
2022-04-22,6
2022-04-23,4
2022-04-24,4
2022-04-25,3
2022-04-26,3
2022-04-27,2
2022-04-28,3
2022-04-29,3
2022-04-30,4
2022-05-01,4
2022-05-02,3
2022-05-03,2
2022-05-04,2
2022-05-05,3
2022-05-06,4
2022-05-07,5
2022-05-08,5
2022-05-09,3
2022-05-10,3
2022-05-11,3
2022-05-12,3
2022-05-13,3
2022-05-14,4
2022-05-15,4
2022-05-16,3
2022-05-17,3
2022-05-18,4
2022-05-19,4
2022-05-20,4
2022-05-21,5
2022-05-22,7
2022-05-23,6
2022-05-24,5
2022-05-25,5
2022-05-26,6
2022-05-27,5
2022-05-28,6
2022-05-29,7
2022-05-30,7
2022-05-31,6
2022-06-01,5
2022-06-02,5
2022-06-03,7
2022-06-04,8
2022-06-05,8
2022-06-06,7
2022-06-07,10
2022-06-08,12
2022-06-09,14
2022-06-10,17
2022-06-11,21
2022-06-12,23
2022-06-13,25
2022-06-14,32
2022-06-15,36
2022-06-16,46
2022-06-17,80
2022-06-18,100
2022-06-19,87
2022-06-20,68
2022-06-21,59
2022-06-22,45
2022-06-23,38
2022-06-24,35
2022-06-25,42
2022-06-26,39
2022-06-27,23
2022-06-28,18
2022-06-29,17
