Day,M3GAN
2022-11-06,2
2022-11-07,2
2022-11-08,1
2022-11-09,1
2022-11-10,1
2022-11-11,1
2022-11-12,1
2022-11-13,1
2022-11-14,1
2022-11-15,1
2022-11-16,1
2022-11-17,1
2022-11-18,1
2022-11-19,1
2022-11-20,1
2022-11-21,1
2022-11-22,1
2022-11-23,1
2022-11-24,1
2022-11-25,1
2022-11-26,1
2022-11-27,1
2022-11-28,1
2022-11-29,1
2022-11-30,1
2022-12-01,1
2022-12-02,1
2022-12-03,1
2022-12-04,1
2022-12-05,1
2022-12-06,1
2022-12-07,2
2022-12-08,6
2022-12-09,6
2022-12-10,5
2022-12-11,5
2022-12-12,5
2022-12-13,5
2022-12-14,5
2022-12-15,4
2022-12-16,4
2022-12-17,5
2022-12-18,6
2022-12-19,6
2022-12-20,5
2022-12-21,5
2022-12-22,6
2022-12-23,5
2022-12-24,6
2022-12-25,6
2022-12-26,8
2022-12-27,7
2022-12-28,8
2022-12-29,8
2022-12-30,11
2022-12-31,11
2023-01-01,13
2023-01-02,19
2023-01-03,18
2023-01-04,29
2023-01-05,48
2023-01-06,71
2023-01-07,100
2023-01-08,97
2023-01-09,57
2023-01-10,48
2023-01-11,40
2023-01-12,34
2023-01-13,45
2023-01-14,61
2023-01-15,56
2023-01-16,43
2023-01-17,27
2023-01-18,22
2023-01-19,22
2023-01-20,26
