Day,Nope
2022-05-21,1
2022-05-22,1
2022-05-23,1
2022-05-24,1
2022-05-25,1
2022-05-26,1
2022-05-27,1
2022-05-28,1
2022-05-29,1
2022-05-30,2
2022-05-31,1
2022-06-01,1
2022-06-02,1
2022-06-03,2
2022-06-04,2
2022-06-05,2
2022-06-06,1
2022-06-07,1
2022-06-08,2
2022-06-09,6
2022-06-10,4
2022-06-11,3
2022-06-12,3
2022-06-13,2
2022-06-14,3
2022-06-15,2
2022-06-16,2
2022-06-17,3
2022-06-18,3
2022-06-19,2
2022-06-20,2
2022-06-21,2
2022-06-22,2
2022-06-23,2
2022-06-24,2
2022-06-25,3
2022-06-26,3
2022-06-27,3
2022-06-28,3
2022-06-29,3
2022-06-30,3
2022-07-01,3
2022-07-02,4
2022-07-03,5
2022-07-04,4
2022-07-05,4
2022-07-06,4
2022-07-07,4
2022-07-08,5
2022-07-09,5
2022-07-10,5
2022-07-11,5
2022-07-12,6
2022-07-13,6
2022-07-14,7
2022-07-15,8
2022-07-16,11
2022-07-17,13
2022-07-18,12
2022-07-19,20
2022-07-20,32
2022-07-21,44
2022-07-22,83
2022-07-23,100
2022-07-24,93
2022-07-25,67
2022-07-26,51
2022-07-27,44
2022-07-28,33
2022-07-29,35
2022-07-30,43
2022-07-31,45
2022-08-01,28
2022-08-02,22
2022-08-03,22
