Day,Poor Things
2023-10-08,3
2023-10-09,4
2023-10-10,4
2023-10-11,4
2023-10-12,4
2023-10-13,4
2023-10-14,4
2023-10-15,6
2023-10-16,6
2023-10-17,5
2023-10-18,4
2023-10-19,8
2023-10-20,12
2023-10-21,6
2023-10-22,6
2023-10-23,5
2023-10-24,4
2023-10-25,4
2023-10-26,4
2023-10-27,5
2023-10-28,4
2023-10-29,5
2023-10-30,5
2023-10-31,3
2023-11-01,5
2023-11-02,4
2023-11-03,4
2023-11-04,4
2023-11-05,4
2023-11-06,6
2023-11-07,5
2023-11-08,5
2023-11-09,6
2023-11-10,5
2023-11-11,6
2023-11-12,8
2023-11-13,6
2023-11-14,5
2023-11-15,5
2023-11-16,6
2023-11-17,8
2023-11-18,7
2023-11-19,6
2023-11-20,7
2023-11-21,5
2023-11-22,5
2023-11-23,5
2023-11-24,5
2023-11-25,8
2023-11-26,8
2023-11-27,16
2023-11-28,19
2023-11-29,23
2023-11-30,21
2023-12-01,23
2023-12-02,24
2023-12-03,39
2023-12-04,28
2023-12-05,36
2023-12-06,36
2023-12-07,60
2023-12-08,85
2023-12-09,100
2023-12-10,85
2023-12-11,72
2023-12-12,68
2023-12-13,63
2023-12-14,58
2023-12-15,73
2023-12-16,96
2023-12-17,89
2023-12-18,70
2023-12-19,69
2023-12-20,76
2023-12-21,73
