Day,Soul
2020-10-26,11
2020-10-27,11
2020-10-28,11
2020-10-29,12
2020-10-30,12
2020-10-31,14
2020-11-01,15
2020-11-02,12
2020-11-03,11
2020-11-04,7
2020-11-05,8
2020-11-06,9
2020-11-07,12
2020-11-08,14
2020-11-09,13
2020-11-10,11
2020-11-11,12
2020-11-12,12
2020-11-13,12
2020-11-14,15
2020-11-15,17
2020-11-16,13
2020-11-17,12
2020-11-18,14
2020-11-19,14
2020-11-20,13
2020-11-21,15
2020-11-22,16
2020-11-23,13
2020-11-24,13
2020-11-25,14
2020-11-26,17
2020-11-27,14
2020-11-28,15
2020-11-29,17
2020-11-30,16
2020-12-01,13
2020-12-02,13
2020-12-03,13
2020-12-04,14
2020-12-05,14
2020-12-06,15
2020-12-07,12
2020-12-08,12
2020-12-09,13
2020-12-10,13
2020-12-11,13
2020-12-12,15
2020-12-13,16
2020-12-14,14
2020-12-15,14
2020-12-16,14
2020-12-17,15
2020-12-18,15
2020-12-19,17
2020-12-20,19
2020-12-21,17
2020-12-22,17
2020-12-23,18
2020-12-24,21
2020-12-25,59
2020-12-26,100
2020-12-27,85
2020-12-28,60
2020-12-29,47
2020-12-30,37
2020-12-31,35
2021-01-01,43
2021-01-02,39
2021-01-03,38
2021-01-04,23
2021-01-05,20
2021-01-06,19
2021-01-07,18
2021-01-08,18
