Day,Spider-Man: No Way Home
2021-10-16,4
2021-10-17,3
2021-10-18,3
2021-10-19,3
2021-10-20,3
2021-10-21,3
2021-10-22,3
2021-10-23,3
2021-10-24,4
2021-10-25,4
2021-10-26,3
2021-10-27,5
2021-10-28,3
2021-10-29,3
2021-10-30,5
2021-10-31,4
2021-11-01,4
2021-11-02,3
2021-11-03,3
2021-11-04,3
2021-11-05,4
2021-11-06,5
2021-11-07,6
2021-11-08,10
2021-11-09,8
2021-11-10,7
2021-11-11,5
2021-11-12,4
2021-11-13,7
2021-11-14,6
2021-11-15,7
2021-11-16,15
2021-11-17,35
2021-11-18,13
2021-11-19,10
2021-11-20,9
2021-11-21,8
2021-11-22,7
2021-11-23,8
2021-11-24,8
2021-11-25,10
2021-11-26,9
2021-11-27,10
2021-11-28,11
2021-11-29,36
2021-11-30,21
2021-12-01,10
2021-12-02,11
2021-12-03,11
2021-12-04,13
2021-12-05,14
2021-12-06,10
2021-12-07,9
2021-12-08,10
2021-12-09,10
2021-12-10,11
2021-12-11,14
2021-12-12,16
2021-12-13,16
2021-12-14,38
2021-12-15,39
2021-12-16,56
2021-12-17,98
2021-12-18,100
2021-12-19,93
2021-12-20,68
2021-12-21,53
2021-12-22,48
2021-12-23,44
2021-12-24,44
2021-12-25,45
2021-12-26,51
2021-12-27,41
2021-12-28,36
2021-12-29,33
