Day,The Batman
2021-12-31,3
2022-01-01,5
2022-01-02,4
2022-01-03,3
2022-01-04,3
2022-01-05,3
2022-01-06,3
2022-01-07,3
2022-01-08,3
2022-01-09,4
2022-01-10,3
2022-01-11,3
2022-01-12,3
2022-01-13,3
2022-01-14,2
2022-01-15,3
2022-01-16,3
2022-01-17,3
2022-01-18,3
2022-01-19,3
2022-01-20,3
2022-01-21,5
2022-01-22,5
2022-01-23,5
2022-01-24,5
2022-01-25,3
2022-01-26,4
2022-01-27,4
2022-01-28,4
2022-01-29,5
2022-01-30,9
2022-01-31,9
2022-02-01,6
2022-02-02,5
2022-02-03,5
2022-02-04,6
2022-02-05,7
2022-02-06,7
2022-02-07,5
2022-02-08,8
2022-02-09,7
2022-02-10,8
2022-02-11,6
2022-02-12,8
2022-02-13,7
2022-02-14,5
2022-02-15,6
2022-02-16,6
2022-02-17,6
2022-02-18,6
2022-02-19,8
2022-02-20,9
2022-02-21,7
2022-02-22,8
2022-02-23,7
2022-02-24,7
2022-02-25,9
2022-02-26,11
2022-02-27,11
2022-02-28,25
2022-03-01,29
2022-03-02,32
2022-03-03,37
2022-03-04,73
2022-03-05,99
2022-03-06,100
2022-03-07,66
2022-03-08,44
2022-03-09,36
2022-03-10,31
2022-03-11,32
2022-03-12,50
2022-03-13,52
2022-03-14,33
2022-03-15,22
