Day,The Hunger Games: Mockingjay - Part 2
2015-09-19,4
2015-09-20,4
2015-09-21,3
2015-09-22,2
2015-09-23,2
2015-09-24,3
2015-09-25,2
2015-09-26,3
2015-09-27,5
2015-09-28,3
2015-09-29,3
2015-09-30,4
2015-10-01,4
2015-10-02,4
2015-10-03,5
2015-10-04,5
2015-10-05,3
2015-10-06,5
2015-10-07,3
2015-10-08,2
2015-10-09,2
2015-10-10,3
2015-10-11,3
2015-10-12,4
2015-10-13,2
2015-10-14,3
2015-10-15,4
2015-10-16,3
2015-10-17,4
2015-10-18,5
2015-10-19,4
2015-10-20,3
2015-10-21,6
2015-10-22,3
2015-10-23,7
2015-10-24,7
2015-10-25,7
2015-10-26,6
2015-10-27,5
2015-10-28,5
2015-10-29,4
2015-10-30,5
2015-10-31,4
2015-11-01,8
2015-11-02,8
2015-11-03,7
2015-11-04,9
2015-11-05,12
2015-11-06,9
2015-11-07,15
2015-11-08,11
2015-11-09,8
2015-11-10,10
2015-11-11,12
2015-11-12,9
2015-11-13,12
2015-11-14,14
2015-11-15,18
2015-11-16,16
2015-11-17,18
2015-11-18,19
2015-11-19,37
2015-11-20,62
2015-11-21,100
2015-11-22,80
2015-11-23,46
2015-11-24,32
2015-11-25,44
2015-11-26,39
2015-11-27,41
2015-11-28,55
2015-11-29,47
2015-11-30,22
2015-12-01,17
2015-12-02,14
