Day,The Hunger Games The Ballad of Songbirds Snakes
2023-09-16,0
2023-09-17,0
2023-09-18,0
2023-09-19,0
2023-09-20,7
2023-09-21,7
2023-09-22,4
2023-09-23,4
2023-09-24,4
2023-09-25,2
2023-09-26,2
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,2
2023-10-01,0
2023-10-02,0
2023-10-03,1
2023-10-04,2
2023-10-05,0
2023-10-06,0
2023-10-07,2
2023-10-08,0
2023-10-09,0
2023-10-10,1
2023-10-11,0
2023-10-12,2
2023-10-13,1
2023-10-14,2
2023-10-15,2
2023-10-16,2
2023-10-17,2
2023-10-18,0
2023-10-19,3
2023-10-20,6
2023-10-21,6
2023-10-22,9
2023-10-23,7
2023-10-24,7
2023-10-25,6
2023-10-26,5
2023-10-27,9
2023-10-28,9
2023-10-29,8
2023-10-30,6
2023-10-31,5
2023-11-01,13
2023-11-02,13
2023-11-03,13
2023-11-04,18
2023-11-05,20
2023-11-06,23
2023-11-07,17
2023-11-08,14
2023-11-09,17
2023-11-10,16
2023-11-11,20
2023-11-12,20
2023-11-13,19
2023-11-14,27
2023-11-15,30
2023-11-16,36
2023-11-17,72
2023-11-18,100
2023-11-19,90
2023-11-20,61
2023-11-21,55
2023-11-22,56
2023-11-23,59
2023-11-24,54
2023-11-25,65
2023-11-26,58
2023-11-27,41
2023-11-28,27
2023-11-29,29
