Day,The Kissing Booth
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,0
2018-03-21,0
2018-03-22,0
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,0
2018-03-28,0
2018-03-29,0
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,0
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,0
2018-04-10,0
2018-04-11,0
2018-04-12,0
2018-04-13,0
2018-04-14,0
2018-04-15,1
2018-04-16,0
2018-04-17,0
2018-04-18,0
2018-04-19,0
2018-04-20,0
2018-04-21,0
2018-04-22,0
2018-04-23,0
2018-04-24,0
2018-04-25,0
2018-04-26,0
2018-04-27,0
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,2
2018-05-02,14
2018-05-03,18
2018-05-04,13
2018-05-05,13
2018-05-06,10
2018-05-07,5
2018-05-08,5
2018-05-09,4
2018-05-10,5
2018-05-11,34
2018-05-12,97
2018-05-13,100
2018-05-14,83
2018-05-15,77
2018-05-16,78
2018-05-17,91
2018-05-18,76
2018-05-19,97
2018-05-20,99
2018-05-21,76
2018-05-22,62
2018-05-23,53
2018-05-24,46
2018-05-25,42
