Day,The Little Mermaid
2017-07-08,1
2017-07-09,1
2017-07-10,1
2017-07-11,1
2017-07-12,1
2017-07-13,1
2017-07-14,1
2017-07-15,1
2017-07-16,1
2017-07-17,1
2017-07-18,1
2017-07-19,1
2017-07-20,1
2017-07-21,1
2017-07-22,1
2017-07-23,1
2017-07-24,1
2017-07-25,1
2017-07-26,1
2017-07-27,4
2017-07-28,6
2017-07-29,4
2017-07-30,3
2017-07-31,2
2017-08-01,2
2017-08-02,2
2017-08-03,2
2017-08-04,2
2017-08-05,3
2017-08-06,4
2017-08-07,3
2017-08-08,3
2017-08-09,3
2017-08-10,2
2017-08-11,3
2017-08-12,4
2017-08-13,5
2017-08-14,5
2017-08-15,5
2017-08-16,5
2017-08-17,4
2017-08-18,4
2017-08-19,6
2017-08-20,9
2017-08-21,6
2017-08-22,7
2017-08-23,7
2017-08-24,7
2017-08-25,8
2017-08-26,11
2017-08-27,19
2017-08-28,10
2017-08-29,11
2017-08-30,10
2017-08-31,8
2017-09-01,9
2017-09-02,13
2017-09-03,16
2017-09-04,16
2017-09-05,16
2017-09-06,24
2017-09-07,38
2017-09-08,63
2017-09-09,100
2017-09-10,93
2017-09-11,49
2017-09-12,36
2017-09-13,55
2017-09-14,47
2017-09-15,52
2017-09-16,87
2017-09-17,89
2017-09-18,48
2017-09-19,34
2017-09-20,32
