Day,The Marvels
2023-09-09,1
2023-09-10,1
2023-09-11,1
2023-09-12,1
2023-09-13,1
2023-09-14,1
2023-09-15,1
2023-09-16,1
2023-09-17,1
2023-09-18,1
2023-09-19,1
2023-09-20,1
2023-09-21,1
2023-09-22,1
2023-09-23,1
2023-09-24,1
2023-09-25,1
2023-09-26,1
2023-09-27,1
2023-09-28,2
2023-09-29,1
2023-09-30,2
2023-10-01,2
2023-10-02,1
2023-10-03,1
2023-10-04,1
2023-10-05,2
2023-10-06,3
2023-10-07,2
2023-10-08,2
2023-10-09,3
2023-10-10,4
2023-10-11,4
2023-10-12,2
2023-10-13,3
2023-10-14,4
2023-10-15,5
2023-10-16,5
2023-10-17,3
2023-10-18,4
2023-10-19,5
2023-10-20,4
2023-10-21,4
2023-10-22,6
2023-10-23,4
2023-10-24,4
2023-10-25,3
2023-10-26,4
2023-10-27,4
2023-10-28,6
2023-10-29,7
2023-10-30,6
2023-10-31,7
2023-11-01,8
2023-11-02,8
2023-11-03,7
2023-11-04,10
2023-11-05,12
2023-11-06,13
2023-11-07,28
2023-11-08,48
2023-11-09,57
2023-11-10,95
2023-11-11,100
2023-11-12,85
2023-11-13,58
2023-11-14,33
2023-11-15,33
2023-11-16,23
2023-11-17,26
2023-11-18,33
2023-11-19,30
2023-11-20,23
2023-11-21,20
2023-11-22,20
