Day,The Shape of Water
2017-10-02,4
2017-10-03,3
2017-10-04,4
2017-10-05,5
2017-10-06,4
2017-10-07,4
2017-10-08,5
2017-10-09,5
2017-10-10,4
2017-10-11,3
2017-10-12,5
2017-10-13,3
2017-10-14,3
2017-10-15,4
2017-10-16,3
2017-10-17,4
2017-10-18,3
2017-10-19,5
2017-10-20,9
2017-10-21,6
2017-10-22,7
2017-10-23,4
2017-10-24,4
2017-10-25,5
2017-10-26,5
2017-10-27,4
2017-10-28,2
2017-10-29,4
2017-10-30,3
2017-10-31,4
2017-11-01,3
2017-11-02,4
2017-11-03,5
2017-11-04,5
2017-11-05,5
2017-11-06,4
2017-11-07,4
2017-11-08,5
2017-11-09,4
2017-11-10,5
2017-11-11,6
2017-11-12,7
2017-11-13,6
2017-11-14,5
2017-11-15,5
2017-11-16,7
2017-11-17,7
2017-11-18,7
2017-11-19,9
2017-11-20,6
2017-11-21,9
2017-11-22,8
2017-11-23,10
2017-11-24,9
2017-11-25,9
2017-11-26,13
2017-11-27,12
2017-11-28,15
2017-11-29,19
2017-11-30,21
2017-12-01,40
2017-12-02,43
2017-12-03,39
2017-12-04,33
2017-12-05,38
2017-12-06,43
2017-12-07,51
2017-12-08,67
2017-12-09,75
2017-12-10,75
2017-12-11,100
2017-12-12,79
2017-12-13,58
2017-12-14,53
2017-12-15,62
