Day,The Super Mario Bros. Movie
2023-02-04,5
2023-02-05,2
2023-02-06,2
2023-02-07,2
2023-02-08,1
2023-02-09,2
2023-02-10,2
2023-02-11,2
2023-02-12,3
2023-02-13,3
2023-02-14,2
2023-02-15,2
2023-02-16,2
2023-02-17,2
2023-02-18,4
2023-02-19,3
2023-02-20,2
2023-02-21,4
2023-02-22,3
2023-02-23,2
2023-02-24,3
2023-02-25,3
2023-02-26,3
2023-02-27,2
2023-02-28,3
2023-03-01,3
2023-03-02,3
2023-03-03,3
2023-03-04,4
2023-03-05,4
2023-03-06,4
2023-03-07,3
2023-03-08,3
2023-03-09,5
2023-03-10,11
2023-03-11,8
2023-03-12,7
2023-03-13,4
2023-03-14,5
2023-03-15,5
2023-03-16,4
2023-03-17,5
2023-03-18,5
2023-03-19,5
2023-03-20,5
2023-03-21,6
2023-03-22,5
2023-03-23,6
2023-03-24,7
2023-03-25,9
2023-03-26,9
2023-03-27,8
2023-03-28,9
2023-03-29,9
2023-03-30,11
2023-03-31,12
2023-04-01,15
2023-04-02,25
2023-04-03,26
2023-04-04,49
2023-04-05,83
2023-04-06,87
2023-04-07,88
2023-04-08,100
2023-04-09,82
2023-04-10,56
2023-04-11,46
2023-04-12,36
2023-04-13,32
2023-04-14,41
2023-04-15,60
2023-04-16,60
2023-04-17,33
2023-04-18,25
2023-04-19,25
