Day,Thor Love and Thunder
2022-05-07,4
2022-05-08,5
2022-05-09,3
2022-05-10,3
2022-05-11,2
2022-05-12,2
2022-05-13,2
2022-05-14,2
2022-05-15,3
2022-05-16,2
2022-05-17,2
2022-05-18,2
2022-05-19,2
2022-05-20,2
2022-05-21,3
2022-05-22,3
2022-05-23,3
2022-05-24,25
2022-05-25,10
2022-05-26,7
2022-05-27,5
2022-05-28,5
2022-05-29,4
2022-05-30,4
2022-05-31,3
2022-06-01,3
2022-06-02,3
2022-06-03,3
2022-06-04,3
2022-06-05,3
2022-06-06,4
2022-06-07,3
2022-06-08,4
2022-06-09,4
2022-06-10,3
2022-06-11,5
2022-06-12,5
2022-06-13,9
2022-06-14,7
2022-06-15,5
2022-06-16,4
2022-06-17,5
2022-06-18,6
2022-06-19,6
2022-06-20,5
2022-06-21,6
2022-06-22,6
2022-06-23,8
2022-06-24,14
2022-06-25,14
2022-06-26,11
2022-06-27,10
2022-06-28,9
2022-06-29,9
2022-06-30,11
2022-07-01,10
2022-07-02,13
2022-07-03,13
2022-07-04,14
2022-07-05,24
2022-07-06,28
2022-07-07,52
2022-07-08,96
2022-07-09,100
2022-07-10,88
2022-07-11,50
2022-07-12,36
2022-07-13,29
2022-07-14,24
2022-07-15,25
2022-07-16,33
2022-07-17,32
2022-07-18,19
2022-07-19,14
2022-07-20,13
