Day,Thunderbolts
2025-03-01,2
2025-03-02,1
2025-03-03,1
2025-03-04,1
2025-03-05,1
2025-03-06,1
2025-03-07,1
2025-03-08,3
2025-03-09,3
2025-03-10,2
2025-03-11,1
2025-03-12,1
2025-03-13,1
2025-03-14,1
2025-03-15,1
2025-03-16,1
2025-03-17,1
2025-03-18,1
2025-03-19,1
2025-03-20,1
2025-03-21,1
2025-03-22,1
2025-03-23,1
2025-03-24,1
2025-03-25,1
2025-03-26,2
2025-03-27,4
2025-03-28,5
2025-03-29,3
2025-03-30,3
2025-03-31,2
2025-04-01,2
2025-04-02,2
2025-04-03,3
2025-04-04,3
2025-04-05,5
2025-04-06,4
2025-04-07,6
2025-04-08,8
2025-04-09,5
2025-04-10,4
2025-04-11,4
2025-04-12,5
2025-04-13,5
2025-04-14,4
2025-04-15,4
2025-04-16,6
2025-04-17,6
2025-04-18,6
2025-04-19,5
2025-04-20,6
2025-04-21,4
2025-04-22,7
2025-04-23,14
2025-04-24,11
2025-04-25,10
2025-04-26,12
2025-04-27,15
2025-04-28,13
2025-04-29,26
2025-04-30,28
2025-05-01,44
2025-05-02,84
2025-05-03,100
2025-05-04,93
2025-05-05,61
2025-05-06,48
2025-05-07,39
2025-05-08,28
2025-05-09,30
2025-05-10,46
2025-05-11,49
2025-05-12,25
2025-05-13,19
2025-05-14,17
