Day,To All the Boys I've Loved Before
2018-06-18,0
2018-06-19,0
2018-06-20,0
2018-06-21,7
2018-06-22,13
2018-06-23,8
2018-06-24,6
2018-06-25,4
2018-06-26,4
2018-06-27,0
2018-06-28,3
2018-06-29,2
2018-06-30,2
2018-07-01,0
2018-07-02,0
2018-07-03,0
2018-07-04,2
2018-07-05,0
2018-07-06,0
2018-07-07,3
2018-07-08,3
2018-07-09,0
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,0
2018-07-14,0
2018-07-15,0
2018-07-16,2
2018-07-17,2
2018-07-18,2
2018-07-19,2
2018-07-20,0
2018-07-21,2
2018-07-22,0
2018-07-23,2
2018-07-24,0
2018-07-25,2
2018-07-26,4
2018-07-27,4
2018-07-28,5
2018-07-29,4
2018-07-30,2
2018-07-31,3
2018-08-01,3
2018-08-02,3
2018-08-03,2
2018-08-04,3
2018-08-05,3
2018-08-06,2
2018-08-07,2
2018-08-08,3
2018-08-09,3
2018-08-10,3
2018-08-11,2
2018-08-12,3
2018-08-13,2
2018-08-14,3
2018-08-15,4
2018-08-16,4
2018-08-17,41
2018-08-18,76
2018-08-19,100
2018-08-20,75
2018-08-21,60
2018-08-22,53
2018-08-23,43
2018-08-24,45
2018-08-25,57
2018-08-26,54
2018-08-27,36
2018-08-28,30
2018-08-29,26
2018-08-30,25
2018-08-31,26
