Day,Top Gun Maverick
2022-03-22,1
2022-03-23,1
2022-03-24,1
2022-03-25,1
2022-03-26,1
2022-03-27,1
2022-03-28,1
2022-03-29,4
2022-03-30,5
2022-03-31,2
2022-04-01,2
2022-04-02,2
2022-04-03,2
2022-04-04,1
2022-04-05,1
2022-04-06,1
2022-04-07,1
2022-04-08,1
2022-04-09,1
2022-04-10,1
2022-04-11,1
2022-04-12,1
2022-04-13,1
2022-04-14,1
2022-04-15,1
2022-04-16,1
2022-04-17,1
2022-04-18,1
2022-04-19,1
2022-04-20,1
2022-04-21,1
2022-04-22,1
2022-04-23,1
2022-04-24,1
2022-04-25,1
2022-04-26,1
2022-04-27,1
2022-04-28,2
2022-04-29,3
2022-04-30,3
2022-05-01,3
2022-05-02,2
2022-05-03,4
2022-05-04,5
2022-05-05,9
2022-05-06,7
2022-05-07,8
2022-05-08,7
2022-05-09,5
2022-05-10,5
2022-05-11,5
2022-05-12,10
2022-05-13,10
2022-05-14,9
2022-05-15,13
2022-05-16,7
2022-05-17,7
2022-05-18,11
2022-05-19,12
2022-05-20,13
2022-05-21,17
2022-05-22,22
2022-05-23,17
2022-05-24,20
2022-05-25,23
2022-05-26,35
2022-05-27,68
2022-05-28,89
2022-05-29,95
2022-05-30,100
2022-05-31,75
2022-06-01,54
2022-06-02,43
2022-06-03,47
2022-06-04,65
