Day,Wicked
2024-09-21,4
2024-09-22,4
2024-09-23,3
2024-09-24,3
2024-09-25,3
2024-09-26,3
2024-09-27,3
2024-09-28,4
2024-09-29,5
2024-09-30,4
2024-10-01,4
2024-10-02,4
2024-10-03,4
2024-10-04,5
2024-10-05,5
2024-10-06,5
2024-10-07,4
2024-10-08,5
2024-10-09,8
2024-10-10,7
2024-10-11,7
2024-10-12,9
2024-10-13,14
2024-10-14,10
2024-10-15,8
2024-10-16,8
2024-10-17,10
2024-10-18,8
2024-10-19,9
2024-10-20,9
2024-10-21,8
2024-10-22,8
2024-10-23,9
2024-10-24,8
2024-10-25,8
2024-10-26,10
2024-10-27,10
2024-10-28,8
2024-10-29,9
2024-10-30,10
2024-10-31,11
2024-11-01,9
2024-11-02,12
2024-11-03,12
2024-11-04,10
2024-11-05,8
2024-11-06,5
2024-11-07,10
2024-11-08,10
2024-11-09,14
2024-11-10,21
2024-11-11,25
2024-11-12,21
2024-11-13,19
2024-11-14,18
2024-11-15,21
2024-11-16,21
2024-11-17,26
2024-11-18,24
2024-11-19,30
2024-11-20,33
2024-11-21,41
2024-11-22,67
2024-11-23,97
2024-11-24,100
2024-11-25,78
2024-11-26,66
2024-11-27,71
2024-11-28,76
2024-11-29,74
2024-11-30,78
2024-12-01,68
2024-12-02,45
2024-12-03,34
2024-12-04,31
