Day,"tick, tick... BOOM!"
2021-09-12,0
2021-09-13,0
2021-09-14,1
2021-09-15,0
2021-09-16,1
2021-09-17,<1
2021-09-18,1
2021-09-19,1
2021-09-20,<1
2021-09-21,1
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,2
2021-09-28,<1
2021-09-29,<1
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,6
2021-10-05,6
2021-10-06,4
2021-10-07,2
2021-10-08,1
2021-10-09,1
2021-10-10,1
2021-10-11,1
2021-10-12,<1
2021-10-13,1
2021-10-14,1
2021-10-15,1
2021-10-16,1
2021-10-17,0
2021-10-18,1
2021-10-19,0
2021-10-20,0
2021-10-21,1
2021-10-22,1
2021-10-23,1
2021-10-24,<1
2021-10-25,1
2021-10-26,<1
2021-10-27,1
2021-10-28,1
2021-10-29,1
2021-10-30,1
2021-10-31,1
2021-11-01,1
2021-11-02,1
2021-11-03,1
2021-11-04,1
2021-11-05,1
2021-11-06,2
2021-11-07,1
2021-11-08,1
2021-11-09,2
2021-11-10,3
2021-11-11,9
2021-11-12,15
2021-11-13,14
2021-11-14,16
2021-11-15,12
2021-11-16,12
2021-11-17,13
2021-11-18,16
2021-11-19,32
2021-11-20,92
2021-11-21,100
2021-11-22,65
2021-11-23,49
2021-11-24,43
2021-11-25,44
