Title,Release Date,Popularity,Vote Average,Genres
Anora,2024-10-14,32.4266,7.1,"Romance, Drama, Comedy"
Call Me by Your Name,2017-07-28,10.4971,8.115,"Romance, Drama"
Barbie,2023-07-19,27.2602,6.971,"Comedy, Adventure"
Oppenheimer,2023-07-19,44.6574,8.1,"Drama, History"
Don't Worry Darling,2022-09-21,7.2213,6.803,"Science Fiction, Mystery, Horror"
Everything Everywhere All at Once,2022-03-24,11.6511,7.757,"Action, Adventure, Science Fiction"
The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-15,11.013,7.012,"Drama, Science Fiction, Adventure, Action"
Captain America: Brave New World,2025-02-12,78.8199,6.071,"Action, Thriller, Science Fiction"
Thunderbolts*,2025-04-30,82.4819,7.397,"Action, Science Fiction, Adventure"
Wicked,2024-11-20,31.1809,6.9,"Drama, Romance, Fantasy"
Ant-Man and the Wasp: Quantumania,2023-02-15,9.1531,6.279,"Action, Adventure, Science Fiction"
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05,6.035,6.899,"Action, Crime"
Thor: Love and Thunder,2022-07-06,11.9262,6.412,"Fantasy, Action, Comedy"
Mickey 17,2025-02-28,31.2016,6.9,"Science Fiction, Comedy, Adventure"
Death of a Unicorn,2025-03-27,38.6458,6.441,"Horror, Fantasy, Comedy"
Poor Things,2023-12-07,11.8848,7.684,"Science Fiction, Romance, Comedy"
Top Gun: Maverick,2022-05-21,23.8537,8.175,"Action, Drama"
Don't Look Up,2021-12-08,6.9923,7.071,"Comedy, Science Fiction"
Spider-Man: No Way Home,2021-12-15,24.3705,7.945,"Action, Adventure, Science Fiction"
Dune,2021-10-22,21.2714,7.783,"Science Fiction, Adventure"
The Batman,2022-03-01,22.1716,7.7,"Drama"
Guardians of the Galaxy Vol. 3,2023-05-03,14.5665,7.941,"Action, Science Fiction, Adventure, Comedy"
Doctor Strange in the Multiverse of Madness,2022-05-04,58.8724,7.259,"Action, Fantasy, Adventure"
Black Panther: Wakanda Forever,2022-11-09,14.0221,7.058,"Action, Adventure, Science Fiction"
The Super Mario Bros. Movie,2023-04-05,51.5941,7.62,"Animation"
Avatar: The Way of Water,2022-12-14,22.1353,7.611,"Science Fiction, Adventure, Action"
The Flash,2023-06-13,40.685,6.651,"Action, Adventure, Science Fiction"
The Little Mermaid,2023-05-18,12.2303,6.314,"Adventure, Family, Fantasy, Romance"
